 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2026    Time:  14:57: 7
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    2      1.75     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    3      3.50     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    4      5.25     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    5      7.00     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    6      8.75     0.079     0.470      -0.0   0.600E+01     1.000     0.000     1.000     1.000     1.000
    7     10.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
    8     12.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
    9     14.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   10     15.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   11     17.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   12     19.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   13     21.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   14     22.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   15     24.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   16     26.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   17     28.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   18     29.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   19     31.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   20     33.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   21     35.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   22     36.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   23     38.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   24     40.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   25     42.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   26     43.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   27     45.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   28     47.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   29     49.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   30     50.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   31     52.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   32     54.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   33     56.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   34     57.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   35     59.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   36     61.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   37     63.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   38     64.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   39     66.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   40     68.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   41     70.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   42     71.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   43     73.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   44     75.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   45     77.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   46     78.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   47     80.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   48     82.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   49     84.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   50     85.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   51     87.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   52     89.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   53     91.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   54     92.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   55     94.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   56     96.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   57     98.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   58     99.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   59    101.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   60    103.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   61    105.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   62    106.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   63    108.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   64    110.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   65    112.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   66    113.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   67    115.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   68    117.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   69    119.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   70    120.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   71    122.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   72    124.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   73    126.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   74    127.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   75    129.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   76    131.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   77    133.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   78    134.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   79    136.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   80    138.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   81    140.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   82    141.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   83    143.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   84    145.25     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   85    147.00     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   86    148.75     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   87    150.50     0.081     0.423      -0.0   0.800E+01     1.333     0.000     1.000     1.000     1.000
   88    152.25     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   89    154.00     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   90    155.75     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   91    157.50     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   92    159.25     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   93    161.00     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   94    162.75     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   95    164.50     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   96    166.25     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   97    168.00     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   98    169.75     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
   99    171.50     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
  100    173.25     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
  101    175.00     0.050     0.370      -0.0   0.643E+03   107.163     0.000     1.000     1.000     1.000
end
