tAtm,Prec,rSoil,rRoot,hCritA,rB,hB,ht
1,0,0.0392396,0,100000,0,0,0
2,0,0.05088,0,100000,0,0,0
3,0,0.0412397,0,100000,0,0,0
4,0,0.040005,0,100000,0,0,0
5,0,0.0318964,0,100000,0,0,0
6,0,0.0529579,0,100000,0,0,0
7,0.127,0.00550401,0,100000,0,0,0
8,0,0.00196543,0,100000,0,0,0
9,0,0.00505272,0,100000,0,0,0
10,0,0.0297062,0,100000,0,0,0
11,0,0.0383665,0,100000,0,0,0
12,0,0.0453607,0,100000,0,0,0
13,0,0.0388666,0,100000,0,0,0
14,0,0.0109675,0,100000,0,0,0
15,0,0.0322082,0,100000,0,0,0
16,0,0.0107936,0,100000,0,0,0
17,0,0.0286349,0,100000,0,0,0
18,0,0.0115209,0,100000,0,0,0
19,0,0.0332128,0,100000,0,0,0
20,0,0.0199359,0,100000,0,0,0
21,0,0.00390259,0,100000,0,0,0
22,0,0.00331538,0,100000,0,0,0
23,0,0.004954,0,100000,0,0,0
24,0,0.0144066,0,100000,0,0,0
25,0,0.0031176,0,100000,0,0,0
26,0,0.00355763,0,100000,0,0,0
27,0,0.00624708,0,100000,0,0,0
28,0,0.0203863,0,100000,0,0,0
29,0,0.00538603,0,100000,0,0,0
30,0,0.0116437,0,100000,0,0,0
31,0,0.0473845,0,100000,0,0,0
32,0,0.0630768,0,100000,0,0,0
33,0.2032,0.0399452,0,100000,0,0,0
34,0,0.00712377,0,100000,0,0,0
35,0,0.0131493,0,100000,0,0,0
36,0.2794,0.00714067,0,100000,0,0,0
37,0,0.00378569,0,100000,0,0,0
38,0,0.00279184,0,100000,0,0,0
39,0,0.00368482,0,100000,0,0,0
40,0,0.00229452,0,100000,0,0,0
41,0,0.00168419,0,100000,0,0,0
42,0,0.00221853,0,100000,0,0,0
43,0,0.00299701,0,100000,0,0,0
44,0,0.00243267,0,100000,0,0,0
45,0,0.00200145,0,100000,0,0,0
46,0,0.00474912,0,100000,0,0,0
47,0,0.00657635,0,100000,0,0,0
